"ID";"Geslacht";"Arbeidsmarktpositie";"Peilmoment";"Studiekenmerken";"Persoonskenmerken";"Perioden";"HboTotaal_1";"HboVoltijd_2";"HboDeeltijd_3";"HboTotaal_4";"HboVoltijd_5";"HboDeeltijd_6";"HboTotaal_7";"HboTotaalVoltijd_8";"HboTotaalDeeltijd_9";"HboBachelorTotaal_10";"HboBachelorVoltijd_11";"HboBachelorDeeltijd_12";"HboMasterTotaal_13";"HboMasterVoltijd_14";"HboMasterDeeltijd_15";"HboAssociateDegreeTotaal_16";"HboAssociateDegreeVoltijd_17";"HboAssociateDegreeDeeltijd_18"
"7";"3";"00";"01";"00";"00";"2013SJ00";"90950";"74050";"16890";"37220";"29490";"7720";"53730";"44560";"9170";"49550";"43010";"6540";"3290";"1020";"2270";"890";"530";"360"
"15";"3";"00";"01";"00";"01";"2013SJ00";"3060";"3050";"10";"3050";"3040";"10";"10";"10";"0";;;"0";"0";"0";"0";;;"0"
"23";"3";"00";"01";"00";"02";"2013SJ00";"36370";"35460";"910";"15930";"15250";"680";"20440";"20210";"230";"20040";"19870";"170";"170";"130";"30";"240";"200";"30"
"31";"3";"00";"01";"00";"03";"2013SJ00";"30560";"27300";"3260";"9360";"7830";"1530";"21200";"19470";"1730";"20250";"18980";"1260";"700";"320";"380";"250";"170";"80"
"39";"3";"00";"01";"00";"04";"2013SJ00";"7640";"5070";"2580";"3200";"2110";"1090";"4440";"2960";"1480";"3790";"2740";"1050";"540";"160";"380";"110";"60";"50"
"47";"3";"00";"01";"00";"05";"2013SJ00";"6800";"2140";"4660";"2970";"910";"2060";"3830";"1230";"2600";"2910";"990";"1920";"790";"200";"590";"140";"40";"100"
"55";"3";"00";"01";"00";"06";"2013SJ00";"6510";"1030";"5480";"2700";"360";"2340";"3810";"670";"3130";"2560";"420";"2140";"1100";"210";"890";"150";"40";"110"
"63";"3";"00";"01";"00";"07";"2013SJ00";"69370";"55850";"13520";"25370";"19700";"5670";"44010";"36150";"7850";"40540";"35010";"5530";"2730";"710";"2020";"750";"440";"310"
"71";"3";"00";"01";"00";"08";"2013SJ00";"13990";"12010";"1980";"8460";"7090";"1370";"5530";"4930";"600";"5260";"4790";"470";"170";"70";"90";"100";"70";"40"
"79";"3";"00";"01";"00";"09";"2013SJ00";"7590";"6190";"1400";"3390";"2710";"680";"4200";"3480";"720";"3760";"3220";"540";"400";"240";"160";"50";"20";"20"
"87";"3";"00";"01";"00";"10";"2013SJ00";"87620";"71080";"16540";"35690";"28160";"7530";"51940";"42920";"9020";"48040";"41620";"6410";"3020";"780";"2240";"890";"530";"360"
"95";"3";"00";"01";"00";"11";"2013SJ00";"1750";"1520";"220";"750";"640";"110";"1000";"890";"120";"820";"730";"90";"180";"150";"30";;;
"103";"3";"00";"01";"00";"12";"2013SJ00";"1570";"1450";"130";"780";"700";"90";"790";"750";"40";"690";"660";"40";"100";"90";;;;"0"
